"TABLA DE COLINDANCIAS ""ANANDA""",,,,,,,,,,,,,,,,,,,,,,,
LOTE,Cliente,M2 PRIVATIVO,% INDIVISO,M2 Area Comun,M2 Area Recreativa,M2 Pasillos,Total Terreno,NORTE,SUR,ESTE,OESTE,Total Construccion,Lista 1 Preventa Construccion         (3 unidades),Lista 2 Preventa Construccion (3 unidades),Lista 3  Preventa Contstruccion               (3 unidades),Lista 4                (3 unidades),Lista 5                (3 unidades),Lista 6                (3 unidades),Lista 7                (3 unidades),Lista 8               (3 unidades),Lista 9                (3 unidades),Lista 10            (6 unidades),
39,,161.00,2.37%,57.39,11.61,6.63,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Lote 40,23 m con Lote 38,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
40,,161.00,2.37%,57.39,11.61,6.63,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Lote 41,23 m con Lote 39,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
41,,161.00,2.37%,57.39,11.61,6.63,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Lote 42,23 m con Lote 40,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
42,,161.00,2.37%,57.39,11.61,6.63,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Lote 43,23 m con Lote 41,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
43,,161.00,2.37%,57.39,11.61,6.63,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Lote 44,23 m con Lote 42,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
44,,161.00,2.37%,57.39,11.61,6.63,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Pasillo,23 m con Lote 43,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
,,"  6,804.00 ",,"  2,425.43 ",  490.57 ,  280.00 ,"  10,000.00 ",,,,,," $ 148,773,504 "," $ 151,762,414 "," $ 154,811,102 "," $ 157,920,764 "," $ 161,092,620 "," $ 164,327,912 "," $ 167,627,910 "," $ 170,993,909 "," $ 174,427,227 "," $ 177,929,211 "," $ 162,966,657 "
,,,,2425.43,490.57,280,,,,,,Precio/m2," $ 26,520.00 "," $ 27,050.40 "," $ 27,591.41 "," $ 28,143.24 "," $ 28,706.10 "," $ 29,280.22 "," $ 29,865.83 "," $ 30,463.14 "," $ 31,072.41 "," $ 31,693.85 ",
,,,,,,,,,,,,,2.00%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Enganche / Plazo,100%,90%,80%,70%,60%,50%,40%,30%,25%,20%,15%,,,,,,,,,,,
,1 mes,10.50%,9.50%,8.50%,7.50%,6.50%,5.50%,4.50%,3.50%,2.50%,2.00%,1.50%,,,,,,,,,,,
,2 meses,10.50%,9.50%,8.50%,7.50%,6.50%,5.50%,4.50%,3.50%,2.50%,2.00%,1.50%,,,,,,,,,,,
,3 meses,10.50%,9.50%,8.50%,7.50%,6.50%,5.50%,4.50%,3.50%,2.50%,2.00%,1.50%,,,,,,,,,,,
,4 meses,10.00%,9.00%,8.00%,7.00%,6.00%,5.00%,4.00%,3.00%,2.00%,1.50%,1.00%,,,,,,,,,,,
,5 meses,9.50%,8.50%,7.50%,6.50%,5.50%,4.50%,3.50%,2.50%,1.50%,1.00%,0.50%,,,,,,,,,,,
,6 meses,9.00%,8.00%,7.00%,6.00%,5.00%,4.00%,3.00%,2.00%,1.00%,0.50%,0.00%,,,,,,,,,,,
,7 meses,8.50%,7.50%,6.50%,5.50%,4.50%,3.50%,2.50%,1.50%,0.50%,0.00%,0.00%,,,,,,,,,,,
,8 meses,8.00%,7.00%,6.00%,5.00%,4.00%,3.00%,2.00%,1.00%,0.00%,0.00%,0.00%,,,,,,,,,,,
,9 meses,7.50%,6.50%,5.50%,4.50%,3.50%,2.50%,1.50%,0.50%,0.00%,0.00%,0.00%,,,,,,,,,,,
,10 meses,7.00%,6.00%,5.00%,4.00%,3.00%,2.00%,1.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,
,11 meses,6.75%,5.75%,4.75%,3.75%,2.75%,1.75%,0.75%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,
,12 meses,6.50%,5.50%,4.50%,3.50%,2.50%,1.50%,0.50%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,
,13 meses,6.25%,5.25%,4.25%,3.25%,2.25%,1.25%,0.25%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Ejemplo:,,,,,,,,,,,,,,,,,,,,,
